DATE	      CLOSE
20191101	19.05
20191104	19.3
20191105	19.6
20191106	19.95
20191107	19.95
20191108	19.9
20191111	19.9
20191112	19.9
20191113	19.8
20191114	19.8
20191115	19.85
20191118	20
20191119	19.85
20191120	20
20191121	19.75
20191122	19.8
20191125	19.9
20191126	19.85
20191127	20.05
20191128	20
20191129	19.75
20191202	19.75
20191203	19.9
20191204	19.95
20191205	19.65
20191206	19.9
20191209	19.9
20191210	19.85
20191211	19.95
20191212	19.85
20191213	20.25
20191216	20.05
20191217	20.15
20191218	20.15
20191219	20.05
20191220	20.35
20191223	20.35
20191224	20.3
20191225	20.25
20191226	20.3
20191227	20.45
20191230	20.4
20191231	20.2
20200102	20.2
20200103	20.25
20200106	19.95
20200107	19.9
20200108	19.8
20200109	20
20200110	20.1
20200113	20.2
20200114	20.35
20200115	20.4
20200116	20.4
20200117	20.5
20200120	20.65
20200130	19.35
20200131	19.7
20200203	19.8
20200204	20.05
20200205	20.2
20200206	20.25
20200207	20.3
20200210	20.4
20200211	20.3
20200212	20.05
20200213	20.15
20200214	20.15
20200217	20.15
20200218	20.2
20200219	20.3
20200220	20.3
20200221	20.25
20200224	19.85
20200225	19.75
20200226	19.5
20200227	19.2
20200302	18.95
20200303	19.2
20200304	19.3
20200305	19.5
20200306	19.05
20200309	18.4
20200310	18.5
20200311	18.25
20200312	17.5
20200313	17.4
20200316	16.45
20200317	15.6
20200318	15.55
20200319	14
20200320	15.25
20200323	14.2
20200324	15.2
20200325	15.75
20200326	15.6
20200327	16
20200330	15.6
20200331	15.55
20200401	15.3
20200406	15.5
20200407	15.65
20200408	15.7
20200409	15.9
20200410	16.3
20200413	16.05
20200414	16.7
20200415	17.2
20200416	16.8
20200417	16.85
20200420	16.75
20200421	16.1
20200422	16
20200423	16.15
20200424	16.1
20200427	16.4
20200428	16.4
20200429	16.75
20200430	17.1
20200504	16.5
20200505	16.55
20200506	16.35
20200507	16.4
20200508	16.4
20200511	16.7
20200512	16.5
20200513	16.65
20200514	16.3
20200515	16.25
20200518	16.2
20200519	16.25
20200520	16.2
20200521	16.4
20200522	16.15
20200525	16.3
20200526	16.6
20200527	16.65
20200528	16.5
20200529	16.25
20200601	16.65
20200602	17
20200603	17.35
20200604	17.35
20200605	17.5
20200608	18.05
20200609	18.15
20200610	18.5
20200611	18.05
20200612	17.85
20200615	17.95
20200616	18.3
20200617	18.5
20200618	18.35
20200619	18.15
20200622	18.2
20200623	18.2
20200624	18.4
20200629	17.45
20200630	17.45
20200701	17.6
20200702	17.65
20200703	17.9
20200706	18
20200707	18.15
20200708	18.1
20200709	18.1
20200710	17.9
20200713	18.3
20200714	18.35
20200715	18.4
20200716	18.4
20200717	18.3
20200720	18.15
20200721	18.15
20200722	18.3
20200723	18.2
20200724	18
20200727	17.8
20200728	17.9
20200729	18.3
20200730	18.35
20200731	18
20200803	17.95
20200804	18.2
20200805	18.25
20200806	18.65
20200807	18.7
20200810	19.15
20200811	19.15
20200812	19.05
20200813	19.1
20200814	19.1
20200817	18.8
20200818	18.75
20200819	18.85
20200820	18.45
20200821	18.6
20200824	18.45
20200825	18.45
20200826	18.4
20200827	18.3
20200828	18.3
20200831	18.4
20200901	18.3
20200902	18.3
20200903	18.4
20200904	18.2
20200907	18.25
20200908	18.3
20200909	18.2
20200910	18.3
20200911	18.3
20200914	18.25
20200915	18.25
20200916	18.35
20200917	18.3
20200918	18.3
20200921	18
20200922	17.75
20200923	17.7
20200924	17.15
20200925	17.3
20200928	17.7
20200929	17.65
20200930	17.8
20201005	17.85
20201006	18.2
20201007	18
20201008	18.2
20201012	18.2
20201013	18.1
20201014	18.15
20201015	18
20201016	17.9
20201019	17.8
20201020	17.85
20201021	17.85
20201022	18.1
20201023	17.95
20201026	18.05
20201027	18
20201028	17.9
20201029	17.65
20201030	17.75
20201102	18
20201103	18.1
20201104	18.15
20201105	18.25
20201106	18.3
20201109	18.35
20201110	18.6
20201111	19.05
20201112	18.6
20201113	18.5
20201116	18.8
20201117	18.9
20201118	19.05
20201119	18.95
20201120	19.05
20201123	19.4
20201124	19.4
20201125	19.25
20201126	19.25
20201127	19.3
20201130	19.1
20201201	19.35
20201202	19.4
20201203	19.35
20201204	19.4
20201207	19.3
20201208	19.35
20201209	19.45
20201210	19.4
20201211	19.8
20201214	19.85
20201215	19.5
20201216	19.8
20201217	19.65
20201218	19.55
20201221	19.9
20201222	19.65
20201223	19.55
20201224	19.75
20201225	19.7
20201228	19.8
20201229	19.95
20201230	20.4
20201231	20.55
20210104	20.45
20210105	20.55
20210106	20.65
20210107	21
20210108	21.35
20210111	21.9
20210112	21.25
20210113	21.4
20210114	21.2
20210115	21
20210118	21
20210119	21.3
20210120	20.65
20210121	21
20210122	20.75
20210125	20.85
20210126	20.7
20210127	20.65
20210128	20.3
20210129	19.9
20210201	20.2
20210202	20.65
20210203	20.85
20210204	20.75
20210205	21
20210217	21.4
20210218	21.4
20210219	21.3
20210222	21.3
20210223	21.65
20210224	21.6
20210225	22
20210226	21.25
20210302	21.05
20210303	21.4
20210304	21.15
20210305	21.2
20210308	21.15
20210309	21.65
20210310	21.85
20210311	21.85
20210312	21.9
20210315	21.9
20210316	21.9
20210317	21.8
20210318	21.9
20210319	21.65
20210322	21.75
20210323	21.9
20210324	22.15
20210325	22.3
20210326	22.25
20210329	22.35
20210330	22.65
20210331	22.5
20210401	22.4
20210406	22.5
20210407	22.6
20210408	22.7
20210409	23
20210412	23.35
20210413	23.15
20210414	23.3
20210415	24
20210416	24.75
20210419	26.1
20210420	26
20210421	25.7
20210422	25.95
20210423	25.9
20210426	26.5
20210427	26.35
20210428	26.1
20210429	26
20210503	25.5
20210504	25.05
20210505	25.3
20210506	25.7
20210507	25.9
20210510	26.7
20210511	26
20210512	24.5
20210513	23.9
20210514	24.3
20210517	23.15
20210518	24.45
20210519	24.35
20210520	24.45
20210521	24.65
20210524	25
20210525	25.05
20210526	25.15
20210527	25.2
20210528	25.6
20210531	25.6
20210601	25.7
20210602	25.95
20210603	26
20210604	25.8
20210607	25.5
20210608	25.85
20210609	25.5
20210610	25.5
20210611	25.5
20210615	25.4
20210616	25.4
20210617	25.45
20210618	25.2
20210621	25.05
20210622	25.35
20210623	25.45
20210624	26.05
20210625	26.45
20210628	26.4
20210629	26.4
20210630	26.85
20210701	26.65
20210702	26.5
20210705	27.1
20210706	27.5
20210707	27
20210708	27.15
20210709	25.55
20210712	25.5
20210713	25.4
20210714	25.35
20210715	25.45
20210716	25.9
20210719	25.8
20210720	25.55
20210721	25.4
20210722	25.55
20210723	25.7
20210726	25.3
20210727	25.2
20210728	25.05
20210729	25.35
20210730	25.4
20210802	25.65
20210803	25.8
20210804	25.85
20210805	25.95
20210806	25.7
20210809	25.8
20210810	25.6
20210811	24.25
20210812	24.4
20210813	23.7
20210816	24.05
20210817	23.7
20210818	23.9
20210819	23.35
20210820	23.65
20210823	24.15
20210824	24.45
20210825	24.5
20210826	24.3
20210827	24.6
20210830	25
20210831	25
20210901	24.9
20210902	24.5
20210903	24.7
20210906	24.5
20210907	24.3
20210908	24.65
20210909	24.6
20210910	24.75
20210913	24.95
20210914	25.1
20210915	25.1
20210916	25.05
20210917	24.75
20210922	24.3
20210923	24.8
20210924	24.65
20210927	24.8
20210928	24.6
20210929	24.4
20210930	24.7
20211001	24.2
20211004	24.2
20211005	24.05
20211006	24.45
20211007	24.55
20211008	24.45
20211012	24.5
20211013	24.4
20211014	24.2
20211015	24.7
20211018	24.95
20211019	24.75
20211020	24.8
20211021	25
20211022	24.7
20211025	24.6
20211026	24.95
20211027	24.9
20211028	24.85
20211029	24.7
20211101	24.55
20211102	24.35
20211103	24.5
20211104	24.5
20211105	24.65
20211108	24.7
20211109	24.2
20211110	24.45
20211111	24.35
20211112	24.5
20211115	24.75
20211116	24.85
20211117	25.15
20211118	25.1
20211119	25.05
20211122	25
20211123	24.75
20211124	24.9
20211125	24.9
20211126	24.45
20211129	24.3
20211130	23.7
20211201	24.35
20211202	24.55
20211203	24.75
20211206	24.9
20211207	24.95
20211208	25.05
20211209	25
20211210	24.95
20211213	25
20211214	24.7
20211215	24.7
20211216	24.85
20211217	25.05
20211220	24.65
20211221	24.75
20211222	24.8
20211223	24.95
20211224	25
20211227	25
20211228	25.05
20211229	25.3
20211230	25.3
20220103	25.2
20220104	25.4
20220105	25.25
20220106	25.4
20220107	25.75
20220110	25.5
20220111	25.85
20220112	25.9
20220113	26.3
20220114	25.9
20220117	25.85
20220118	25.8
20220119	25.7
20220120	25.85
